336037,1,10,6,Y Venugopal Rao,DB Ravi Teja,M Muralitharan,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,11,1,Y Venugopal Rao,DB Ravi Teja,JA Morkel,0,1,1,0,0,NA,NA,NA,wides,Deccan Chargers,Chennai Super Kings
336037,1,11,2,Y Venugopal Rao,DB Ravi Teja,JA Morkel,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,11,3,Y Venugopal Rao,DB Ravi Teja,JA Morkel,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,11,4,DB Ravi Teja,Y Venugopal Rao,JA Morkel,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,11,5,Y Venugopal Rao,DB Ravi Teja,JA Morkel,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,11,6,DB Ravi Teja,Y Venugopal Rao,JA Morkel,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,11,7,Y Venugopal Rao,DB Ravi Teja,JA Morkel,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,12,1,Y Venugopal Rao,DB Ravi Teja,M Muralitharan,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,12,2,DB Ravi Teja,Y Venugopal Rao,M Muralitharan,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,12,3,Y Venugopal Rao,DB Ravi Teja,M Muralitharan,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,12,4,DB Ravi Teja,Y Venugopal Rao,M Muralitharan,2,0,2,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,12,5,DB Ravi Teja,Y Venugopal Rao,M Muralitharan,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,12,6,DB Ravi Teja,Y Venugopal Rao,M Muralitharan,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,13,1,DB Ravi Teja,Y Venugopal Rao,L Balaji,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
829787,2,11,4,JP Faulkner,SPD Smith,I Sharma,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Sunrisers Hyderabad
829787,2,11,5,SPD Smith,JP Faulkner,I Sharma,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Sunrisers Hyderabad
